#ThreadID Size Duration #authors #distinctLinks
374 1 0.000000 2 1
375 7 37460.000000 6 5
376 2 831.000000 3 2
378 1 0.000000 2 1
379 3 176947.000000 2 1
381 17 234194.000000 12 11
385 5 102974.000000 6 5
388 1 0.000000 2 1
389 5 214080.000000 4 3
392 1 0.000000 2 1
394 1 0.000000 2 1
395 13 97821.000000 7 6
396 2 127345.000000 3 2
397 16 582548.000000 9 9
398 1 0.000000 2 1
399 1 0.000000 2 1
400 1 0.000000 2 1
402 1 0.000000 2 1
405 1 0.000000 2 1
407 2 57734.000000 3 2
408 5 27751.000000 4 4
409 3 504228.000000 4 3
413 1 0.000000 2 1
414 1 0.000000 2 1
416 1 0.000000 2 1
419 3 189835.000000 3 2
420 1 0.000000 2 1
421 1 0.000000 2 1
422 2 6870.000000 2 1
425 1 0.000000 2 1
428 2 816.000000 3 2
430 1 0.000000 2 1
432 2 5241.000000 3 2
435 1 0.000000 2 1
439 1 0.000000 2 1
441 6 130921.000000 5 4
443 3 61207.000000 4 3
446 1 0.000000 2 1
448 4 36553.000000 5 4
449 1 0.000000 2 1
453 2 38474.000000 2 1
454 4 52786.000000 5 4
455 1 0.000000 2 1
457 4 522593.000000 5 4
458 6 6926.000000 5 4
460 1 0.000000 2 1
462 1 0.000000 2 1
464 1 0.000000 2 1
466 3 54624.000000 4 3
467 5 157156.000000 3 3
471 2 29229.000000 3 2
473 13 409724.000000 7 8
474 1 0.000000 2 1
475 13 622993.000000 10 10
478 4 71710.000000 2 1
479 4 336623.000000 5 4
480 2 3521.000000 3 2
482 3 8656.000000 4 3
484 1 0.000000 2 1
486 4 14101.000000 5 4
487 1 0.000000 2 1
488 1 0.000000 2 1
489 1 0.000000 2 1
491 3 66758.000000 4 3
492 4 144575.000000 4 3
496 7 93027.000000 4 4
497 12 59467.000000 12 12
499 13 222356.000000 8 8
501 1 0.000000 2 1
503 7 76570.000000 6 5
505 1 0.000000 2 1
508 4 21299.000000 3 2
510 7 58156.000000 4 3
511 2 25650.000000 2 1
513 3 148790.000000 4 3
514 3 24488.000000 4 3
515 1 0.000000 2 1
517 1 0.000000 2 1
521 1 0.000000 2 1
524 2 305004.000000 3 2
525 6 161280.000000 3 2
526 1 0.000000 2 1
527 2 171596.000000 2 1
531 1 0.000000 2 1
533 1 0.000000 2 1
534 2 114046.000000 3 2
536 1 0.000000 2 1
541 4 578514.000000 4 3
542 4 65337.000000 3 2
544 1 0.000000 2 1
547 1 0.000000 2 1
549 1 0.000000 2 1
550 6 291480.000000 4 3
551 2 19669.000000 3 2
552 8 148589.000000 6 6
554 11 43819.000000 6 5
555 1 0.000000 2 1
556 1 0.000000 2 1
557 5 38612.000000 6 5
558 1 0.000000 2 1
563 4 44535.000000 4 3
568 9 59978.000000 10 9
569 3 97952.000000 4 3
570 3 53589.000000 4 3
571 10 169971.000000 4 3
578 2 4822.000000 3 2
580 3 20955.000000 3 3
584 2 73265.000000 3 2
587 3 36305.000000 3 2
588 2 24805.000000 2 1
589 3 233.000000 4 3
591 5 52646.000000 6 5
592 1 0.000000 2 1
597 1 0.000000 2 1
601 1 0.000000 2 1
603 1 0.000000 2 1
606 1 0.000000 2 1
607 2 910.000000 2 1
608 6 212474.000000 6 5
609 2 7123.000000 3 2
613 1 0.000000 2 1
615 3 162548.000000 3 2
618 1 0.000000 2 1
619 3 27242.000000 3 2
620 4 4572.000000 4 3
621 3 14968.000000 4 3
622 1 0.000000 2 1
623 1 0.000000 2 1
624 2 2803.000000 3 2
628 1 0.000000 2 1
630 2 1291.000000 2 1
631 1 0.000000 2 1
632 1 0.000000 2 1
634 1 0.000000 2 1
638 2 2802.000000 3 2
640 1 0.000000 2 1
641 2 1011.000000 3 2
649 2 15461.000000 3 2
651 1 0.000000 2 1
652 2 19402.000000 2 1
656 2 79453.000000 3 2
657 1 0.000000 2 1
658 1 0.000000 2 1
659 1 0.000000 2 1
660 1 0.000000 2 1
662 1 0.000000 2 1
663 6 65940.000000 2 1
672 2 126636.000000 2 1
674 1 0.000000 2 1
675 1 0.000000 2 1
676 1 0.000000 2 1
679 1 0.000000 2 1
680 25 855483.000000 7 8
681 1 0.000000 2 1
686 1 0.000000 2 1
687 2 70256.000000 3 2
688 1 0.000000 2 1
692 2 551.000000 3 2
695 1 0.000000 2 1
697 6 87828.000000 5 4
698 1 0.000000 2 1
699 1 0.000000 2 1
702 4 93544.000000 3 2
703 1 0.000000 2 1
705 1 0.000000 2 1
708 2 53209.000000 2 1
710 3 15808.000000 3 2
712 1 0.000000 2 1
713 1 0.000000 2 1
720 1 0.000000 2 1
723 3 2829.000000 3 2
724 1 0.000000 2 1
725 4 403514.000000 5 4
727 2 849.000000 3 2
728 2 36124.000000 3 2
733 4 46851.000000 5 4
734 4 13791.000000 3 2
741 2 88067.000000 3 2
745 1 0.000000 2 1
746 2 5251.000000 3 2
748 3 216.000000 4 3
752 1 0.000000 2 1
756 1 0.000000 2 1
757 4 61792.000000 3 2
758 1 0.000000 2 1
759 1 0.000000 2 1
761 1 0.000000 2 1
762 3 10937.000000 4 3
768 1 0.000000 2 1
769 3 10188.000000 3 3
770 4 54887.000000 4 3
771 1 0.000000 2 1
772 2 166629.000000 3 2
773 1 0.000000 2 1
777 10 192422.000000 8 7
781 3 4237.000000 2 1
782 3 83630.000000 3 2
783 1 0.000000 2 1
787 1 0.000000 2 1
788 4 103404.000000 4 3
793 4 59381.000000 3 2
794 1 0.000000 2 1
795 1 0.000000 2 1
799 3 561137.000000 2 1
802 1 0.000000 2 1
803 1 0.000000 2 1
804 4 51101.000000 5 4
808 4 241171.000000 4 3
810 3 42158.000000 4 3
811 1 0.000000 2 1
818 2 21061.000000 3 2
825 1 0.000000 2 1
826 4 113377.000000 5 4
828 1 0.000000 2 1
829 1 0.000000 2 1
830 1 0.000000 2 1
831 1 0.000000 2 1
833 2 42184.000000 3 2
837 6 160689.000000 6 5
839 1 0.000000 2 1
842 5 34763.000000 6 5
846 2 5102.000000 3 2
850 4 32354.000000 5 4
851 1 0.000000 2 1
852 1 0.000000 2 1
854 2 3177.000000 3 2
855 1 0.000000 2 1
856 1 0.000000 2 1
857 1 0.000000 2 1
859 1 0.000000 2 1
860 1 0.000000 2 1
862 2 80240.000000 3 2
863 1 0.000000 2 1
864 4 2391.000000 4 3
865 2 66974.000000 3 2
867 2 20726.000000 3 2
868 2 48501.000000 3 2
870 2 7547.000000 2 1
873 1 0.000000 2 1
874 1 0.000000 2 1
879 1 0.000000 2 1
880 1 0.000000 2 1
881 1 0.000000 2 1
882 3 76069.000000 3 3
883 1 0.000000 2 1
888 2 44551.000000 3 2
892 3 58825.000000 4 3
893 1 0.000000 2 1
894 1 0.000000 2 1
895 1 0.000000 2 1
896 1 0.000000 2 1
901 1 0.000000 2 1
905 3 59294.000000 4 3
908 1 0.000000 2 1
909 4 131638.000000 3 2
913 2 45037.000000 2 1
915 5 101695.000000 4 3
919 1 0.000000 2 1
922 1 0.000000 2 1
923 3 320384.000000 4 3
925 6 46385.000000 6 5
928 1 0.000000 2 1
930 4 282155.000000 5 4
931 1 0.000000 2 1
932 3 531261.000000 3 2
933 2 8544.000000 3 2
934 1 0.000000 2 1
935 1 0.000000 2 1
939 2 37076.000000 3 2
940 1 0.000000 2 1
943 2 23875.000000 3 2
945 1 0.000000 2 1
946 5 60103.000000 6 5
947 1 0.000000 2 1
951 6 110764.000000 4 4
952 2 151145.000000 3 2
953 2 16199.000000 2 1
955 1 0.000000 2 1
956 2 315.000000 3 2
957 1 0.000000 2 1
959 1 0.000000 2 1
960 1 0.000000 2 1
962 1 0.000000 2 1
964 2 22574.000000 3 2
965 2 5505.000000 3 2
967 1 0.000000 2 1
968 2 2818.000000 3 2
970 4 40274.000000 2 1
971 15 284589.000000 10 13
975 1 0.000000 2 1
976 1 0.000000 2 1
978 3 1310585.000000 3 2
979 2 35.000000 3 2
982 2 3716.000000 3 2
983 33 614096.000000 12 16
984 1 0.000000 2 1
985 1 0.000000 2 1
986 1 0.000000 2 1
987 1 0.000000 2 1
989 1 0.000000 2 1
990 3 9337.000000 4 3
996 2 227.000000 3 2
997 4 17189.000000 5 4
998 1 0.000000 2 1
1003 2 1409.000000 3 2
1005 1 0.000000 2 1
1007 1 0.000000 2 1
1011 1 0.000000 2 1
1013 1 0.000000 2 1
1015 1 0.000000 2 1
1016 1 0.000000 2 1
1020 1 0.000000 2 1
1021 1 0.000000 2 1
1022 2 168989.000000 3 2
1023 1 0.000000 2 1
1026 1 0.000000 2 1
1034 1 0.000000 2 1
1036 2 269043.000000 3 2
1037 2 825.000000 3 2
1039 1 0.000000 2 1
1044 1 0.000000 2 1
